Ecosystem,Namespace,Name,Version,Published,Detected
npm,@squawk,navaid-data,0.6.5,2026-05-11T22:48:47.452Z,2026-05-11T22:54:03.470Z
npm,@squawk,notams,0.3.7,2026-05-11T22:48:48.123Z,2026-05-11T22:54:03.434Z
npm,@squawk,icao-registry-data,0.8.5,2026-05-11T22:48:48.127Z,2026-05-11T22:54:03.079Z
npm,@squawk,airports,0.6.3,2026-05-11T22:48:46.109Z,2026-05-11T22:54:02.909Z
npm,@squawk,navaids,0.4.3,2026-05-11T22:48:46.260Z,2026-05-11T22:54:02.822Z
npm,@beproduct,nestjs-auth,0.1.17,2026-05-11T22:48:21.830Z,2026-05-11T22:53:32.050Z
npm,,git-branch-selector,1.3.5,2026-05-11T22:48:16.173Z,2026-05-11T22:53:06.549Z
npm,@tolka,cli,1.0.4,2026-05-11T22:48:15.891Z,2026-05-11T22:53:06.317Z
npm,@mistralai,mistralai-gcp,1.7.1,2026-05-11T22:45:38.309Z,2026-05-11T22:52:55.863Z
npm,@mistralai,mistralai-gcp,1.7.2,2026-05-11T22:49:23.487Z,2026-05-11T22:52:46.401Z
npm,@mistralai,mistralai-azure,1.7.1,2026-05-11T22:45:37.951Z,2026-05-11T22:52:46.040Z
npm,@mistralai,mistralai-azure,1.7.2,2026-05-11T22:49:22.926Z,2026-05-11T22:52:45.808Z
npm,@tallyui,core,0.2.2,2026-05-11T22:49:01.926Z,2026-05-11T22:51:41.014Z
npm,@mesadev,saguaro,0.4.22,2026-05-11T22:44:30.005Z,2026-05-11T22:51:33.411Z
npm,@mesadev,sdk,0.28.3,2026-05-11T22:44:26.365Z,2026-05-11T22:49:24.785Z
npm,@mesadev,rest,0.28.3,2026-05-11T22:44:26.862Z,2026-05-11T22:49:22.940Z
npm,,cross-stitch,1.1.3,2026-05-11T22:17:07.042Z,2026-05-11T22:26:29.606Z
npm,,ts-dna,3.0.1,2026-05-11T22:17:05.368Z,2026-05-11T22:25:21.661Z
npm,@squawk,mcp,0.9.1,2026-05-11T22:17:05.628Z,2026-05-11T22:23:27.562Z
npm,,wot-api,0.8.1,2026-05-11T22:17:10.494Z,2026-05-11T22:23:24.876Z
npm,@squawk,notams,0.3.6,2026-05-11T22:17:05.716Z,2026-05-11T22:22:35.970Z
npm,@squawk,airways,0.4.2,2026-05-11T22:17:05.568Z,2026-05-11T22:22:34.995Z
npm,@squawk,flightplan,0.5.2,2026-05-11T22:17:05.323Z,2026-05-11T22:22:32.124Z
npm,@squawk,weather,0.5.6,2026-05-11T22:17:05.709Z,2026-05-11T22:22:28.279Z
npm,@squawk,flight-math,0.5.4,2026-05-11T22:17:05.445Z,2026-05-11T22:22:28.005Z
npm,@squawk,airway-data,0.5.4,2026-05-11T22:17:05.778Z,2026-05-11T22:22:26.187Z
npm,@squawk,procedures,0.5.2,2026-05-11T22:17:05.325Z,2026-05-11T22:22:25.502Z
npm,@squawk,icao-registry-data,0.8.4,2026-05-11T22:17:06.431Z,2026-05-11T22:22:24.075Z
npm,@squawk,units,0.4.3,2026-05-11T22:17:05.920Z,2026-05-11T22:22:23.824Z
npm,@squawk,navaids,0.4.2,2026-05-11T22:17:05.491Z,2026-05-11T22:22:23.421Z
npm,@squawk,types,0.8.1,2026-05-11T22:17:05.383Z,2026-05-11T22:22:23.327Z
npm,@squawk,fix-data,0.6.4,2026-05-11T22:17:05.889Z,2026-05-11T22:22:22.633Z
npm,@squawk,navaid-data,0.6.4,2026-05-11T22:17:05.249Z,2026-05-11T22:22:22.343Z
npm,@squawk,icao-registry,0.5.2,2026-05-11T22:17:05.216Z,2026-05-11T22:22:22.267Z
npm,@squawk,fixes,0.3.2,2026-05-11T22:17:05.320Z,2026-05-11T22:22:21.857Z
npm,@squawk,geo,0.4.4,2026-05-11T22:17:05.643Z,2026-05-11T22:22:21.309Z
npm,@squawk,procedure-data,0.7.3,2026-05-11T22:17:05.799Z,2026-05-11T22:22:20.493Z
npm,@squawk,airspace-data,0.5.3,2026-05-11T22:17:06.007Z,2026-05-11T22:22:19.994Z
npm,@squawk,airports,0.6.2,2026-05-11T22:17:05.104Z,2026-05-11T22:22:19.198Z
npm,@squawk,airspace,0.8.1,2026-05-11T22:17:05.299Z,2026-05-11T22:22:19.182Z
npm,@squawk,airport-data,0.7.4,2026-05-11T22:17:05.606Z,2026-05-11T22:22:16.423Z
npm,@tolka,cli,1.0.3,2026-05-11T22:09:06.157Z,2026-05-11T22:15:27.507Z
npm,,git-branch-selector,1.3.4,2026-05-11T22:09:06.815Z,2026-05-11T22:15:26.692Z
npm,,nextmove-mcp,0.1.4,2026-05-11T22:09:06.563Z,2026-05-11T22:15:18.214Z
npm,,git-git-git,1.0.9,2026-05-11T22:09:06.445Z,2026-05-11T22:15:17.260Z
npm,@tallyui,theme,0.2.1,2026-05-11T21:41:50.843Z,2026-05-11T21:47:59.181Z
npm,@tallyui,pos,0.1.1,2026-05-11T21:41:51.077Z,2026-05-11T21:47:57.286Z
npm,@tallyui,connector-medusa,1.0.1,2026-05-11T21:41:50.854Z,2026-05-11T21:47:54.077Z
npm,@tallyui,components,1.0.1,2026-05-11T21:41:50.660Z,2026-05-11T21:47:49.567Z
npm,@tallyui,connector-shopify,1.0.1,2026-05-11T21:41:51.402Z,2026-05-11T21:47:41.870Z
npm,@tallyui,core,0.2.1,2026-05-11T21:41:51.428Z,2026-05-11T21:47:35.293Z
npm,@tallyui,database,1.0.1,2026-05-11T21:41:51.035Z,2026-05-11T21:47:33.965Z
npm,@tallyui,connector-vendure,1.0.1,2026-05-11T21:41:50.750Z,2026-05-11T21:47:31.829Z
npm,@tallyui,storage-sqlite,0.2.1,2026-05-11T21:41:50.659Z,2026-05-11T21:47:31.497Z
npm,@tallyui,connector-woocommerce,1.0.1,2026-05-11T21:41:50.732Z,2026-05-11T21:47:31.415Z
npm,@uipath,apollo-react,4.24.5,2026-05-11T21:00:26.711Z,2026-05-11T21:28:13.200Z
npm,@uipath,agent.sdk,0.0.18,2026-05-11T21:00:21.185Z,2026-05-11T21:13:25.305Z
npm,@uipath,apollo-core,5.9.2,2026-05-11T21:00:26.961Z,2026-05-11T21:09:07.692Z
npm,@uipath,apollo-wind,2.16.2,2026-05-11T21:00:21.184Z,2026-05-11T21:08:42.661Z
npm,@uipath,tool-workflowcompiler,0.0.12,2026-05-11T21:00:20.652Z,2026-05-11T21:08:19.863Z
npm,@uipath,filesystem,1.0.1,2026-05-11T21:00:20.022Z,2026-05-11T21:08:02.753Z
npm,@uipath,robot,1.3.4,2026-05-11T21:00:22.132Z,2026-05-11T21:07:32.886Z
npm,@uipath,telemetry,0.0.7,2026-05-11T21:00:20.650Z,2026-05-11T21:07:29.090Z
npm,@uipath,integrationservice-sdk,1.0.2,2026-05-11T21:00:20.932Z,2026-05-11T21:07:24.909Z
npm,@uipath,ap-chat,1.5.7,2026-05-11T21:00:26.227Z,2026-05-11T21:07:21.498Z
npm,@uipath,widget.sdk,1.2.3,2026-05-11T21:00:21.133Z,2026-05-11T21:07:08.052Z
npm,@uipath,agent-sdk,1.0.2,2026-05-11T21:00:22.740Z,2026-05-11T21:07:06.258Z
npm,@uipath,packager-tool-apiworkflow,0.0.19,2026-05-11T21:00:20.911Z,2026-05-11T21:07:04.415Z
npm,@uipath,case-tool,1.0.1,2026-05-11T21:00:22.990Z,2026-05-11T21:06:55.085Z
npm,@uipath,codedagents-tool,0.1.12,2026-05-11T21:00:20.678Z,2026-05-11T21:06:53.254Z
npm,@uipath,api-workflow-tool,1.0.1,2026-05-11T21:00:20.798Z,2026-05-11T21:06:51.036Z
npm,@uipath,context-grounding-tool,0.1.1,2026-05-11T21:00:19.922Z,2026-05-11T21:06:50.918Z
npm,@uipath,packager-tool-workflowcompiler-browser,0.0.34,2026-05-11T21:00:20.716Z,2026-05-11T21:06:50.722Z
npm,@uipath,packager-tool-workflowcompiler,0.0.16,2026-05-11T21:00:21.364Z,2026-05-11T21:06:49.630Z
npm,@uipath,aops-policy-tool,0.3.1,2026-05-11T21:00:20.534Z,2026-05-11T21:06:48.861Z
npm,@uipath,flow-tool,1.0.2,2026-05-11T21:00:23.016Z,2026-05-11T21:06:48.647Z
npm,@uipath,resourcecatalog-tool,0.1.1,2026-05-11T21:00:20.557Z,2026-05-11T21:06:46.371Z
npm,@uipath,vertical-solutions-tool,1.0.1,2026-05-11T21:00:20.868Z,2026-05-11T21:06:46.274Z
npm,@uipath,data-fabric-tool,1.0.2,2026-05-11T21:00:21.200Z,2026-05-11T21:06:46.178Z
npm,@uipath,packager-tool-case,0.0.9,2026-05-11T21:00:20.380Z,2026-05-11T21:06:45.549Z
npm,@uipath,codedagent-tool,1.0.1,2026-05-11T21:00:20.586Z,2026-05-11T21:06:45.420Z
npm,@uipath,ui-widgets-multi-file-upload,1.0.1,2026-05-11T21:00:20.686Z,2026-05-11T21:06:45.292Z
npm,@uipath,docsai-tool,1.0.1,2026-05-11T21:00:20.034Z,2026-05-11T21:06:45.197Z
npm,@uipath,insights-tool,1.0.1,2026-05-11T21:00:20.838Z,2026-05-11T21:06:43.995Z
npm,@uipath,solutionpackager-sdk,1.0.11,2026-05-11T21:00:22.993Z,2026-05-11T21:06:43.421Z
npm,@uipath,auth,1.0.1,2026-05-11T21:00:20.819Z,2026-05-11T21:06:43.283Z
npm,@uipath,maestro-tool,1.0.1,2026-05-11T21:00:22.134Z,2026-05-11T21:06:43.269Z
npm,@uipath,cli,1.0.1,2026-05-11T21:00:21.005Z,2026-05-11T21:06:42.123Z
npm,@uipath,llmgw-tool,1.0.1,2026-05-11T21:00:20.742Z,2026-05-11T21:06:41.710Z
npm,@uipath,resource-tool,1.0.1,2026-05-11T21:00:20.510Z,2026-05-11T21:06:41.541Z
npm,@uipath,packager-tool-flow,0.0.19,2026-05-11T21:00:20.953Z,2026-05-11T21:06:39.866Z
npm,@uipath,common,1.0.1,2026-05-11T21:00:21.070Z,2026-05-11T21:06:39.742Z
npm,@uipath,gov-tool,0.3.1,2026-05-11T21:00:20.485Z,2026-05-11T21:06:39.437Z
npm,@uipath,traces-tool,1.0.1,2026-05-11T21:00:20.202Z,2026-05-11T21:06:38.605Z
npm,@uipath,packager-tool-bpmn,0.0.9,2026-05-11T21:00:20.411Z,2026-05-11T21:06:36.730Z
npm,@uipath,insights-sdk,1.0.1,2026-05-11T21:00:20.884Z,2026-05-11T21:06:35.096Z
npm,@uipath,admin-tool,0.1.1,2026-05-11T21:00:20.671Z,2026-05-11T21:06:34.043Z
npm,@uipath,packager-tool-webapp,1.0.6,2026-05-11T21:00:20.317Z,2026-05-11T21:06:33.792Z
npm,@uipath,solutionpackager-tool-core,0.0.34,2026-05-11T21:00:20.891Z,2026-05-11T21:06:33.744Z
npm,@uipath,vss,0.1.6,2026-05-11T21:00:22.054Z,2026-05-11T21:06:33.647Z
npm,@uipath,orchestrator-tool,1.0.1,2026-05-11T21:00:21.107Z,2026-05-11T21:06:33.211Z
npm,@uipath,solution-packager,0.0.35,2026-05-11T21:00:20.828Z,2026-05-11T21:06:32.760Z
npm,@uipath,uipath-python-bridge,1.0.1,2026-05-11T21:00:19.848Z,2026-05-11T21:06:32.130Z
npm,@uipath,codedapp-tool,1.0.1,2026-05-11T21:00:20.535Z,2026-05-11T21:06:31.764Z
npm,@uipath,project-packager,1.1.16,2026-05-11T21:00:21.184Z,2026-05-11T21:06:31.477Z
npm,@uipath,integrationservice-tool,1.0.2,2026-05-11T21:00:21.742Z,2026-05-11T21:06:30.535Z
npm,@uipath,packager-tool-functions,0.1.1,2026-05-11T21:00:20.182Z,2026-05-11T21:06:29.906Z
npm,@uipath,tasks-tool,1.0.1,2026-05-11T21:00:21.041Z,2026-05-11T21:06:29.873Z
npm,@uipath,solution-tool,1.0.1,2026-05-11T21:00:21.624Z,2026-05-11T21:06:28.844Z
npm,@uipath,packager-tool-connector,0.0.19,2026-05-11T21:00:21.065Z,2026-05-11T21:06:28.523Z
npm,@uipath,maestro-sdk,1.0.1,2026-05-11T21:00:21.587Z,2026-05-11T21:06:28.484Z
npm,@uipath,test-manager-tool,1.0.2,2026-05-11T21:00:20.952Z,2026-05-11T21:06:28.481Z
npm,@uipath,agent-tool,1.0.1,2026-05-11T21:00:21.606Z,2026-05-11T21:06:28.479Z
npm,@uipath,functions-tool,1.0.1,2026-05-11T21:00:21.059Z,2026-05-11T21:06:28.278Z
